,price
980,"$525,000"
981,"$2,195,000"
982,"$1,149,000"
983,"$1,695,000"
984,"$11,750,000"
985,"$995,000"
986,"$1,995,000"
987,"$949,000"
988,"$1,275,000"
989,"$1,150,000"
990,"$960,000"
991,"$565,000"
992,"$1,100,000"
993,"$715,000"
994,"$2,250,000"
995,"$300,000"
996,"$1,799,000"
997,"$789,900"
998,"$1,550,000"
999,"$1,050,000"
1000,"$1,099,000"
1001,"$799,000"
1002,"$1,495,000"
1003,"$2,095,000"
1004,"$3,300,000"
1005,"$819,000"
1006,"$1,449,000"
1007,"$998,000"
1008,"$4,185,000"
1009,"$995,000"
1010,"$394,000"
1011,"$400,000"
1012,"$1,318,000"
1013,"$998,000"
1014,"$925,000"
1015,"$625,000"
1016,"$995,000"
1017,"$5,250,000"
1018,"$2,750,000"
1019,"$868,000"
1020,"$978,000"
1021,"$799,000"
1022,"$510,000"
1023,"$400,000"
1024,"$7,200,000"
1025,"$729,000"
1026,"$3,895,000"
1027,"$1,825,000"
1028,"$899,000"
1029,"$4,645,000"
1030,"$2,599,000"
1031,"$680,000"
1032,"$1,095,000"
1033,"$3,500"
1034,"$1,695,000"
1035,"$799,000"
1036,"$1,048,000"
1037,"$1,995,000"
1038,"$2,795,000"
1039,"$2,995,000"
1040,"$545,000"
1041,"$575,000"
1042,"$525,000"
1043,"$2,195,000"
1044,"$1,149,000"
1045,"$1,695,000"
1046,"$11,750,000"
1047,"$995,000"
1048,"$1,995,000"
1049,"$949,000"
1050,"$1,275,000"
1051,"$1,150,000"
1052,"$960,000"
1053,"$565,000"
1054,"$1,100,000"
1055,"$715,000"
1056,"$2,250,000"
1057,"$300,000"
1058,"$1,799,000"
1059,"$789,900"
1060,"$1,550,000"
1061,"$1,050,000"
1062,"$1,099,000"
1063,"$799,000"
1064,"$1,495,000"
1065,"$2,095,000"
1066,"$3,300,000"
1067,"$819,000"
1068,"$1,449,000"
1069,"$998,000"
1070,"$4,185,000"
1071,"$995,000"
1072,"$394,000"
1073,"$400,000"
1074,"$1,318,000"
1075,"$998,000"
1076,"$925,000"
1077,"$625,000"
1078,"$995,000"
1079,"$5,250,000"
1080,"$2,750,000"
1081,"$868,000"
1082,"$978,000"
1083,"$799,000"
1084,"$510,000"
1085,"$400,000"
1086,"$7,200,000"
1087,"$729,000"
1088,"$3,895,000"
1089,"$1,825,000"
1090,"$899,000"
1091,"$4,645,000"
1092,"$2,599,000"
1093,"$680,000"
1094,"$1,095,000"
1095,"$3,500"
1096,"$1,695,000"
1097,"$799,000"
1098,"$1,048,000"
1099,"$1,995,000"
1100,"$2,795,000"
1101,"$2,995,000"
1102,"$545,000"
1103,"$575,000"
1104,"$525,000"
1105,"$2,195,000"
1106,"$1,149,000"
1107,"$1,695,000"
1108,"$11,750,000"
1109,"$995,000"
1110,"$1,995,000"
1111,"$949,000"
1112,"$1,275,000"
1113,"$1,150,000"
1114,"$960,000"
1115,"$565,000"
1116,"$1,100,000"
1117,"$715,000"
1118,"$2,250,000"
1119,"$300,000"
1120,"$1,799,000"
1121,"$789,900"
1122,"$1,550,000"
1123,"$1,050,000"
1124,"$1,099,000"
1125,"$799,000"
1126,"$1,495,000"
1127,"$2,095,000"
1128,"$3,300,000"
1129,"$819,000"
1130,"$1,449,000"
1131,"$998,000"
1132,"$4,185,000"
1133,"$995,000"
1134,"$394,000"
1135,"$400,000"
1136,"$1,318,000"
1137,"$998,000"
1138,"$925,000"
1139,"$625,000"
1140,"$995,000"
1141,"$5,250,000"
1142,"$2,750,000"
1143,"$868,000"
1144,"$978,000"
1145,"$799,000"
1146,"$510,000"
1147,"$400,000"
1148,"$7,200,000"
1149,"$729,000"
1150,"$3,895,000"
1151,"$1,825,000"
1152,"$899,000"
1153,"$4,645,000"
1154,"$2,599,000"
1155,"$680,000"
1156,"$1,095,000"
1157,"$3,500"
1158,"$1,695,000"
1159,"$799,000"
1160,"$1,048,000"
1161,"$1,995,000"
1162,"$2,795,000"
1163,"$2,995,000"
1164,"$545,000"
1165,"$575,000"
1166,"$525,000"
1167,"$2,195,000"
1168,"$1,149,000"
1169,"$1,695,000"
1170,"$11,750,000"
1171,"$995,000"
1172,"$1,995,000"
1173,"$949,000"
1174,"$1,275,000"
1175,"$1,150,000"
1176,"$960,000"
1177,"$565,000"
1178,"$1,100,000"
1179,"$715,000"
1180,"$2,250,000"
1181,"$300,000"
1182,"$1,799,000"
1183,"$789,900"
1184,"$1,550,000"
1185,"$1,050,000"
1186,"$1,099,000"
1187,"$799,000"
1188,"$1,495,000"
1189,"$2,095,000"
1190,"$3,300,000"
1191,"$819,000"
1192,"$1,449,000"
1193,"$998,000"
1194,"$4,185,000"
1195,"$995,000"
1196,"$394,000"
1197,"$400,000"
1198,"$1,318,000"
1199,"$998,000"
1200,"$925,000"
1201,"$625,000"
1202,"$995,000"
1203,"$5,250,000"
1204,"$2,750,000"
1205,"$868,000"
1206,"$978,000"
1207,"$799,000"
1208,"$510,000"
1209,"$400,000"
1210,"$7,200,000"
1211,"$729,000"
1212,"$3,895,000"
1213,"$1,825,000"
1214,"$899,000"
1215,"$4,645,000"
1216,"$2,599,000"
1217,"$680,000"
1218,"$1,095,000"
1219,"$3,500"
1220,"$1,695,000"
1221,"$799,000"
1222,"$1,048,000"
1223,"$1,995,000"
1224,"$2,795,000"
1225,"$2,995,000"
1226,"$545,000"
1227,"$575,000"
1228,"$525,000"
1229,"$2,195,000"
1230,"$1,149,000"
1231,"$1,695,000"
1232,"$11,750,000"
1233,"$995,000"
1234,"$1,995,000"
1235,"$949,000"
1236,"$1,275,000"
1237,"$1,150,000"
1238,"$960,000"
1239,"$565,000"
1240,"$1,100,000"
1241,"$715,000"
1242,"$2,250,000"
1243,"$300,000"
1244,"$1,799,000"
1245,"$789,900"
1246,"$1,550,000"
1247,"$1,050,000"
1248,"$1,099,000"
1249,"$799,000"
1250,"$1,495,000"
1251,"$2,095,000"
1252,"$3,300,000"
1253,"$819,000"
1254,"$1,449,000"
1255,"$998,000"
1256,"$4,185,000"
1257,"$995,000"
1258,"$394,000"
1259,"$400,000"
1260,"$1,318,000"
1261,"$998,000"
1262,"$925,000"
1263,"$625,000"
1264,"$995,000"
1265,"$5,250,000"
1266,"$2,750,000"
1267,"$868,000"
1268,"$978,000"
1269,"$799,000"
1270,"$510,000"
1271,"$400,000"
1272,"$7,200,000"
1273,"$729,000"
1274,"$3,895,000"
1275,"$1,825,000"
1276,"$899,000"
1277,"$4,645,000"
